hr,weather_desc,is_member,temp_bin,wind_bin,duration_mean,count
0,rain,Y,"(47.703, 54.788]","[12.24, 24.48)",9.920883534136546,0.3058968058968059
0,rain,Y,"(47.703, 54.788]","[24.48, 36.72)",9.7664972899729,0.6044226044226044
0,rain,Y,"(54.788, 61.873]","[0.0, 12.24)",10.637642418930763,1.4017199017199018
0,rain,Y,"(54.788, 61.873]","[12.24, 24.48)",10.131188118811881,0.9926289926289926
0,rain,Y,"(54.788, 61.873]","[24.48, 36.72)",9.114057971014493,0.14127764127764128
0,rain,Y,"(61.873, 68.958]","[0.0, 12.24)",11.19524334656668,2.785012285012285
0,rain,Y,"(61.873, 68.958]","[12.24, 24.48)",9.619420702754036,0.4312039312039312
0,rain,Y,"(61.873, 68.958]","[24.48, 36.72)",11.908293365307753,1.0245700245700247
0,rain,Y,"(68.958, 76.042]","[0.0, 12.24)",12.223067632850242,3.3906633906633905
0,rain,Y,"(68.958, 76.042]","[12.24, 24.48)",11.563294150573746,1.4631449631449631
0,rain,Y,"(68.958, 76.042]","[24.48, 36.72)",10.81140873015873,0.20638820638820637
0,rain,Y,"(76.042, 83.127]","[12.24, 24.48)",12.956023102310231,0.24815724815724816
0,mist,N,"(40.618, 47.703]","[12.24, 24.48)",17.451851851851853,0.044226044226044224
0,mist,N,"(40.618, 47.703]","[24.48, 36.72)",15.127083333333333,0.009828009828009828
0,mist,N,"(47.703, 54.788]","[0.0, 12.24)",11.881182795698924,0.038083538083538086
0,mist,N,"(47.703, 54.788]","[12.24, 24.48)",14.057291666666666,0.019656019656019656
0,mist,N,"(54.788, 61.873]","[0.0, 12.24)",16.71276595744681,0.05773955773955774
0,mist,N,"(54.788, 61.873]","[12.24, 24.48)",13.609071729957806,0.09705159705159705
0,mist,N,"(61.873, 68.958]","[0.0, 12.24)",17.093715846994535,0.14987714987714987
0,mist,N,"(61.873, 68.958]","[12.24, 24.48)",15.495530303030304,0.2702702702702703
0,mist,N,"(61.873, 68.958]","[24.48, 36.72)",26.92777777777778,0.014742014742014743
0,mist,N,"(68.958, 76.042]","[0.0, 12.24)",18.215047829286238,0.5565110565110565
0,mist,N,"(68.958, 76.042]","[12.24, 24.48)",17.637833333333333,0.2457002457002457
0,mist,N,"(68.958, 76.042]","[24.48, 36.72)",13.622374429223745,0.08968058968058969
0,mist,Y,"(40.618, 47.703]","[12.24, 24.48)",9.336536796536796,0.47297297297297297
0,mist,Y,"(40.618, 47.703]","[24.48, 36.72)",9.676410256410257,0.07985257985257985
0,mist,Y,"(47.703, 54.788]","[0.0, 12.24)",8.615096618357487,0.16953316953316952
0,mist,Y,"(47.703, 54.788]","[12.24, 24.48)",10.09871273712737,0.3022113022113022
0,mist,Y,"(54.788, 61.873]","[0.0, 12.24)",9.688547486033519,0.2199017199017199
0,mist,Y,"(54.788, 61.873]","[12.24, 24.48)",9.89873911049977,0.8931203931203932
0,mist,Y,"(61.873, 68.958]","[0.0, 12.24)",11.622174657534247,0.7174447174447175
0,mist,Y,"(61.873, 68.958]","[12.24, 24.48)",11.182938957475994,1.194103194103194
0,mist,Y,"(61.873, 68.958]","[24.48, 36.72)",10.70959595959596,0.08108108108108109
0,mist,Y,"(68.958, 76.042]","[0.0, 12.24)",12.222276764843384,1.7518427518427517
0,mist,Y,"(68.958, 76.042]","[12.24, 24.48)",11.372868217054265,0.8452088452088452
0,mist,Y,"(68.958, 76.042]","[24.48, 36.72)",10.690140845070424,0.2616707616707617
0,rain,N,"(40.618, 47.703]","[12.24, 24.48)",5.225,0.004914004914004914
0,rain,N,"(47.703, 54.788]","[12.24, 24.48)",15.791666666666666,0.004914004914004914
0,rain,N,"(54.788, 61.873]","[0.0, 12.24)",10.217543859649123,0.02334152334152334
0,rain,N,"(61.873, 68.958]","[0.0, 12.24)",18.186833333333333,0.12285012285012285
0,rain,N,"(61.873, 68.958]","[12.24, 24.48)",14.91832298136646,0.1977886977886978
0,rain,N,"(68.958, 76.042]","[0.0, 12.24)",16.490686274509805,0.04176904176904177
0,rain,N,"(68.958, 76.042]","[12.24, 24.48)",15.88097014925373,0.16461916461916462
0,rain,Y,"(40.618, 47.703]","[12.24, 24.48)",8.183035714285714,0.0687960687960688
0,rain,Y,"(47.703, 54.788]","[12.24, 24.48)",7.410912698412699,0.10319410319410319
0,rain,Y,"(54.788, 61.873]","[0.0, 12.24)",9.5955,0.12285012285012285
0,rain,Y,"(54.788, 61.873]","[12.24, 24.48)",14.360416666666667,0.019656019656019656
0,rain,Y,"(61.873, 68.958]","[0.0, 12.24)",10.49763181411975,0.4582309582309582
0,rain,Y,"(61.873, 68.958]","[12.24, 24.48)",11.141666666666667,0.5749385749385749
0,rain,Y,"(68.958, 76.042]","[0.0, 12.24)",11.565157232704403,0.32555282555282555
0,rain,Y,"(68.958, 76.042]","[12.24, 24.48)",10.662315462315462,0.527027027027027
0,cloudy,N,"(33.534, 40.618]","[24.48, 36.72)",13.163333333333332,0.030712530712530713
0,cloudy,N,"(40.618, 47.703]","[0.0, 12.24)",16.402331961591223,0.2985257985257985
0,cloudy,N,"(40.618, 47.703]","[12.24, 24.48)",15.299122807017543,0.04668304668304668
0,cloudy,N,"(40.618, 47.703]","[24.48, 36.72)",14.41,0.012285012285012284
0,cloudy,N,"(47.703, 54.788]","[0.0, 12.24)",17.2266846361186,0.4557739557739558
0,cloudy,N,"(47.703, 54.788]","[12.24, 24.48)",14.163520408163265,0.24078624078624078
0,cloudy,N,"(47.703, 54.788]","[24.48, 36.72)",16.003944020356233,0.16093366093366093
0,cloudy,N,"(54.788, 61.873]","[0.0, 12.24)",17.957343550446996,0.32063882063882065
0,cloudy,N,"(54.788, 61.873]","[12.24, 24.48)",14.656524822695037,0.28869778869778867
0,cloudy,N,"(54.788, 61.873]","[24.48, 36.72)",11.783333333333333,0.02702702702702703
0,cloudy,N,"(61.873, 68.958]","[0.0, 12.24)",16.267964912280704,0.5835380835380836
0,cloudy,N,"(61.873, 68.958]","[12.24, 24.48)",16.622784019975033,0.32800982800982803
0,cloudy,N,"(61.873, 68.958]","[24.48, 36.72)",16.754901960784313,0.020884520884520884
0,cloudy,N,"(68.958, 76.042]","[0.0, 12.24)",17.89036281179138,1.4447174447174447
0,cloudy,N,"(68.958, 76.042]","[12.24, 24.48)",17.20056044835869,1.5343980343980343
0,cloudy,N,"(68.958, 76.042]","[24.48, 36.72)",18.151488095238097,0.0687960687960688
0,cloudy,N,"(68.958, 76.042]","[36.72, 48.96)",18.14375,0.029484029484029485
0,cloudy,N,"(76.042, 83.127]","[0.0, 12.24)",17.761796536796535,0.9459459459459459
0,cloudy,N,"(76.042, 83.127]","[12.24, 24.48)",19.822879684418144,1.038083538083538
0,cloudy,N,"(76.042, 83.127]","[24.48, 36.72)",18.43185941043084,0.18058968058968058
0,cloudy,Y,"(26.449, 33.534]","[24.48, 36.72)",7.13030303030303,0.013513513513513514
0,cloudy,Y,"(33.534, 40.618]","[24.48, 36.72)",10.218452380952382,0.2751842751842752
0,cloudy,Y,"(40.618, 47.703]","[0.0, 12.24)",10.06366334283001,1.7248157248157248
0,cloudy,Y,"(40.618, 47.703]","[12.24, 24.48)",9.404549808429119,0.4275184275184275
0,cloudy,Y,"(40.618, 47.703]","[24.48, 36.72)",9.546527777777778,0.05896805896805897
0,cloudy,Y,"(47.703, 54.788]","[0.0, 12.24)",10.338452680067002,1.9557739557739557
0,cloudy,Y,"(47.703, 54.788]","[12.24, 24.48)",10.896521942110178,0.8771498771498771
0,cloudy,Y,"(47.703, 54.788]","[24.48, 36.72)",10.030279356060607,0.8648648648648649
0,cloudy,Y,"(54.788, 61.873]","[0.0, 12.24)",10.52304964539007,1.3857493857493857
0,cloudy,Y,"(54.788, 61.873]","[12.24, 24.48)",10.135802469135802,0.995085995085995
0,cloudy,Y,"(54.788, 61.873]","[24.48, 36.72)",8.938172043010752,0.2285012285012285
0,cloudy,Y,"(61.873, 68.958]","[0.0, 12.24)",11.554701834862385,2.1425061425061425
0,cloudy,Y,"(61.873, 68.958]","[12.24, 24.48)",12.431651376146789,1.339066339066339
0,cloudy,Y,"(61.873, 68.958]","[24.48, 36.72)",10.996190476190476,0.128992628992629
0,cloudy,Y,"(68.958, 76.042]","[0.0, 12.24)",12.176374859708194,4.378378378378378
0,cloudy,Y,"(68.958, 76.042]","[12.24, 24.48)",12.058566001899335,4.312039312039312
0,cloudy,Y,"(68.958, 76.042]","[24.48, 36.72)",11.525674019607843,0.33415233415233414
0,cloudy,Y,"(68.958, 76.042]","[36.72, 48.96)",10.623400673400674,0.12162162162162163
0,cloudy,Y,"(76.042, 83.127]","[0.0, 12.24)",12.565486111111111,2.063882063882064
0,cloudy,Y,"(76.042, 83.127]","[12.24, 24.48)",13.070290625553783,2.310810810810811
0,cloudy,Y,"(76.042, 83.127]","[24.48, 36.72)",13.06006289308176,0.5208845208845209
0,rain,N,"(33.534, 40.618]","[0.0, 12.24)",12.178888888888888,0.018427518427518427
