weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
cloudy,Y,9.291666666666666,6,de Maisonneuve / Robert-Bourassa,Towers / Ste-Catherine
cloudy,Y,6.7,1,Gary-Carter / St-Laurent,de St-Vallier / St-Zotique
sky is clear,Y,18.555555555555554,3,St-Mathieu /Ste-Catherine,Berri / Sherbrooke
sky is clear,N,6.933333333333334,2,Bernard / Clark,Métro Outremont (Wiseman / Van Horne)
cloudy,Y,10.183333333333334,2,Resther / St-Joseph,Berri / Cherrier
cloudy,Y,16.883333333333333,1,Laurier / Bordeaux,Ste-Famille / Sherbrooke
cloudy,Y,48.65,1,de Maisonneuve / de Bleury,Marseille / Viau
sky is clear,Y,20.833333333333332,1,de l'Esplanade / Fairmount,Chabot / de Bellechasse
rain,Y,12.866666666666667,2,de Bordeaux / Beaubien,Drolet / Villeray
cloudy,Y,13.266666666666667,1,1ère  avenue /St-Zotique,Chambord / Laurier
cloudy,Y,14.383333333333333,1,Ryde / Charlevoix,de la Commune / McGill
fog,Y,16.158333333333335,2,Clark / St-Viateur,Boyer / Bélanger
cloudy,N,30.0,1,Ontario / du Havre,Lajeunesse / Villeray (place Tapéo)
mist,Y,15.383333333333333,1,Métro Papineau (Cartier / Ste-Catherine),Square St-Louis
cloudy,N,16.566666666666666,1,Robin / de la Visitation,de la Gauchetière / Mansfield
mist,Y,20.2,1,Parc du Pélican (2e avenue / St-Joseph),Ste-Catherine / McGill College
cloudy,Y,5.045833333333333,4,Cartier / Marie-Anne,Boyer / du Mont-Royal
cloudy,Y,12.216666666666667,1,Parc Père-Marquette (Chambord / Rosemont),des Érables / du Mont-Royal
cloudy,N,15.741666666666667,2,St-Viateur/Parc,Square Victoria
sky is clear,Y,25.955555555555556,3,Metcalfe / Square Dorchester,Parc Jeanne Mance (monument George-Étienne Cartier)
cloudy,Y,17.35,1,1ère avenue / Masson,de Mentana / Laurier
cloudy,N,29.2,1,McKenna / Édouard-Montpetit,St-Urbain / René-Lévesque
sky is clear,N,8.266666666666667,1,Métro Parc  (Ogilvy / Hutchison),Bernard / Jeanne-Mance
cloudy,N,32.61666666666667,1,Square St-Louis,26e avenue / Beaubien
